Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Evis,12/2/2021 10:21,0:14:09,,Modern Family: Season 4: Heart Broken (Episode 15),,Chrome PC (Cadmium),0:21:29,0:21:29,AL (Albania)
Evis,12/1/2021 19:46,0:04:19,,Modern Family: Season 4: Heart Broken (Episode 15),,Chrome PC (Cadmium),0:04:23,Not latest view,AL (Albania)
Evis,12/1/2021 19:25,0:17:10,,Modern Family: Season 4: A Slight at the Opera (Episode 14),,Chrome PC (Cadmium),0:21:21,0:21:21,AL (Albania)
Evis,12/1/2021 19:25,0:00:10,Autoplayed: user action: None; ,Modern Family: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:10,Not latest view,AL (Albania)
Evis,12/1/2021 19:25,0:00:07,Autoplayed: user action: None; ,Legally Blonde_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:07,0:00:07,AL (Albania)
Evis,11/30/2021 13:40,0:04:08,,Modern Family: Season 4: A Slight at the Opera (Episode 14),,Chrome PC (Cadmium),0:04:11,Not latest view,AL (Albania)
Evis,11/30/2021 13:19,0:21:32,,Modern Family: Season 4: Fulgencio (Episode 13),,Chrome PC (Cadmium),0:21:32,0:21:32,AL (Albania)
Evis,11/30/2021 13:19,0:00:07,Autoplayed: user action: None; ,Teaser: A Boy Called Christmas,TEASER_TRAILER,Chrome PC (Cadmium),0:00:07,0:00:07,AL (Albania)
Evis,11/30/2021 11:58,0:21:25,,Modern Family: Season 4: Party Crasher (Episode 12),,Netflix Android STB L3 Android,0:21:28,0:21:28,AL (Albania)
Evis,11/30/2021 11:32,0:21:18,,Modern Family: Season 4: New Year's Eve (Episode 11),,Netflix Android STB L3 Android,0:21:18,0:21:18,AL (Albania)
Evis,11/27/2021 13:27,0:00:11,Autoplayed: user action: None; ,Modern Family: Season 4: New Year's Eve (Episode 11),,Chrome PC (Cadmium),0:00:15,Not latest view,AL (Albania)
Evis,11/27/2021 13:05,0:21:20,,Modern Family: Season 4: Diamond in the Rough (Episode 10),,Chrome PC (Cadmium),0:21:26,0:21:26,AL (Albania)
Evis,11/27/2021 13:04,0:00:38,Autoplayed: user action: None; ,Plot Clip: A Castle For Christmas,HOOK,Chrome PC (Cadmium),0:00:00,Not latest view,AL (Albania)
Evis,11/27/2021 12:09,0:00:03,,Modern Family: Season 4: Diamond in the Rough (Episode 10),,Chrome PC (Cadmium),0:00:06,Not latest view,AL (Albania)
Evis,11/27/2021 11:41,0:21:15,,Modern Family: Season 4: When a Tree Falls (Episode 9),,Chrome PC (Cadmium),0:21:18,0:21:18,AL (Albania)
Evis,11/27/2021 11:36,0:05:05,,Modern Family: Season 4: Mistery Date (Episode 8),,Chrome PC (Cadmium),0:21:32,0:21:32,AL (Albania)
Evis,11/27/2021 11:36,0:00:04,Autoplayed: user action: None; ,Season 4 Informative Clip: Selling Sunset,HOOK,Chrome PC (Cadmium),0:00:04,0:00:04,AL (Albania)
Evis,11/25/2021 18:28,0:16:25,,Modern Family: Season 4: Mistery Date (Episode 8),,Netflix Android STB L3 Android,0:16:27,Not latest view,AL (Albania)
Evis,11/25/2021 18:07,0:21:32,,Modern Family: Season 4: Arrested (Episode 7),,Netflix Android STB L3 Android,0:21:35,0:21:35,AL (Albania)
Evis,11/25/2021 17:45,0:21:34,,Modern Family: Season 4: Yard Sale (Episode 6),,Netflix Android STB L3 Android,0:21:35,0:21:35,AL (Albania)
Evis,11/25/2021 17:24,0:21:12,,Modern Family: Season 4: Open House of Horrors (Episode 5),,Netflix Android STB L3 Android,0:21:33,0:21:33,AL (Albania)
Evis,11/25/2021 16:58,0:00:20,,Modern Family: Season 4: Open House of Horrors (Episode 5),,Netflix Android STB L3 Android,0:00:21,Not latest view,AL (Albania)
Evis,11/25/2021 16:37,0:21:30,,Modern Family: Season 4: The Butler's Escape (Episode 4),,Netflix Android STB L3 Android,0:21:33,0:21:33,AL (Albania)
Evis,11/25/2021 16:36,0:00:57,,Modern Family: Season 4: Snip (Episode 3),,Netflix Android STB L3 Android,0:21:16,0:21:16,AL (Albania)
Evis,11/24/2021 13:00,0:10:41,,Modern Family: Season 4: Snip (Episode 3),,Chrome PC (Cadmium),0:20:20,Not latest view,AL (Albania)
Evis,11/24/2021 13:00,0:11:33,,Modern Family: Season 4: Snip (Episode 3),,Chrome PC (Cadmium),0:21:12,Not latest view,AL (Albania)
Evis,11/24/2021 12:59,0:00:17,Autoplayed: user action: None; ,Modern Family: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:17,Not latest view,AL (Albania)
Evis,11/23/2021 19:17,0:09:35,,Modern Family: Season 4: Snip (Episode 3),,Chrome PC (Cadmium),0:09:39,Not latest view,AL (Albania)
Evis,11/23/2021 18:56,0:21:16,,Modern Family: Season 4: Schooled (Episode 2),,Chrome PC (Cadmium),0:21:19,0:21:19,AL (Albania)
Evis,11/23/2021 18:56,0:00:04,Autoplayed: user action: None; ,Jane the Virgin: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:04,0:00:04,AL (Albania)
